Match_id,Home_Team,Away_Team
46605,Liverpool,Norwich City
46606,AFC Bournemouth,Sheffield United
46607,Burnley,Southampton
46608,Crystal Palace,Everton
46609,Leicester City,Wolverhampton Wanderers
46610,Tottenham Hotspur,Aston Villa
46611,Watford,Brighton and Hove Albion
46612,West Ham United,Manchester City
46613,Manchester United,Chelsea
46614,Newcastle United,Arsenal
46615,Arsenal,Burnley
46616,Aston Villa,AFC Bournemouth
46617,Brighton and Hove Albion,West Ham United
46618,Chelsea,Leicester City
46619,Everton,Watford
46620,Manchester City,Tottenham Hotspur
46621,Norwich City,Newcastle United
46622,Sheffield United,Crystal Palace
46623,Southampton,Liverpool
46624,Wolverhampton Wanderers,Manchester United
46625,Aston Villa,Everton
46626,AFC Bournemouth,Manchester City
46627,Brighton and Hove Albion,Southampton
46628,Liverpool,Arsenal
46629,Manchester United,Crystal Palace
46630,Norwich City,Chelsea
46631,Sheffield United,Leicester City
46632,Tottenham Hotspur,Newcastle United
46633,Watford,West Ham United
46634,Wolverhampton Wanderers,Burnley
46635,Arsenal,Tottenham Hotspur
46636,Burnley,Liverpool
46637,Chelsea,Sheffield United
46638,Crystal Palace,Aston Villa
46639,Everton,Wolverhampton Wanderers
46640,Leicester City,AFC Bournemouth
46641,Manchester City,Brighton and Hove Albion
46642,Newcastle United,Watford
46643,Southampton,Manchester United
46644,West Ham United,Norwich City
46645,Aston Villa,West Ham United
46646,AFC Bournemouth,Everton
46647,Brighton and Hove Albion,Burnley
46648,Liverpool,Newcastle United
46649,Manchester United,Leicester City
46650,Norwich City,Manchester City
46651,Sheffield United,Southampton
46652,Tottenham Hotspur,Crystal Palace
46653,Watford,Arsenal
46654,Wolverhampton Wanderers,Chelsea
46655,Arsenal,Aston Villa
46656,Burnley,Norwich City
46657,Chelsea,Liverpool
46658,Crystal Palace,Wolverhampton Wanderers
46659,Everton,Sheffield United
46660,Leicester City,Tottenham Hotspur
46661,Manchester City,Watford
46662,Newcastle United,Brighton and Hove Albion
46663,Southampton,AFC Bournemouth
46664,West Ham United,Manchester United
46665,Aston Villa,Burnley
46666,AFC Bournemouth,West Ham United
46667,Chelsea,Brighton and Hove Albion
46668,Crystal Palace,Norwich City
46669,Everton,Manchester City
46670,Leicester City,Newcastle United
46671,Manchester United,Arsenal
46672,Sheffield United,Liverpool
46673,Tottenham Hotspur,Southampton
46674,Wolverhampton Wanderers,Watford
46675,Arsenal,AFC Bournemouth
46676,Brighton and Hove Albion,Tottenham Hotspur
46677,Burnley,Everton
46678,Liverpool,Leicester City
46679,Manchester City,Wolverhampton Wanderers
46680,Newcastle United,Manchester United
46681,Norwich City,Aston Villa
46682,Southampton,Chelsea
46683,Watford,Sheffield United
46684,West Ham United,Crystal Palace
46685,Aston Villa,Brighton and Hove Albion
46686,AFC Bournemouth,Norwich City
46687,Chelsea,Newcastle United
46688,Crystal Palace,Manchester City
46689,Everton,West Ham United
46690,Leicester City,Burnley
46691,Manchester United,Liverpool
46692,Sheffield United,Arsenal
46693,Tottenham Hotspur,Watford
46694,Wolverhampton Wanderers,Southampton
46695,Arsenal,Crystal Palace
46696,Brighton and Hove Albion,Everton
46697,Burnley,Chelsea
46698,Liverpool,Tottenham Hotspur
46699,Manchester City,Aston Villa
46700,Newcastle United,Wolverhampton Wanderers
46701,Norwich City,Manchester United
46702,Southampton,Leicester City
46703,Watford,AFC Bournemouth
46704,West Ham United,Sheffield United
46705,Arsenal,Wolverhampton Wanderers
46706,Aston Villa,Liverpool
46707,AFC Bournemouth,Manchester United
46708,Brighton and Hove Albion,Norwich City
46709,Crystal Palace,Leicester City
46710,Everton,Tottenham Hotspur
46711,Manchester City,Southampton
46712,Sheffield United,Burnley
46713,Watford,Chelsea
46714,West Ham United,Newcastle United
46715,Burnley,West Ham United
46716,Chelsea,Crystal Palace
46717,Leicester City,Arsenal
46718,Liverpool,Manchester City
46719,Manchester United,Brighton and Hove Albion
46720,Newcastle United,AFC Bournemouth
46721,Norwich City,Watford
46722,Southampton,Everton
46723,Tottenham Hotspur,Sheffield United
46724,Wolverhampton Wanderers,Aston Villa
46725,Arsenal,Southampton
46726,Aston Villa,Newcastle United
46727,AFC Bournemouth,Wolverhampton Wanderers
46728,Brighton and Hove Albion,Leicester City
46729,Crystal Palace,Liverpool
46730,Everton,Norwich City
46731,Manchester City,Chelsea
46732,Sheffield United,Manchester United
46733,Watford,Burnley
46734,West Ham United,Tottenham Hotspur
46735,Burnley,Crystal Palace
46736,Chelsea,West Ham United
46737,Leicester City,Everton
46738,Liverpool,Brighton and Hove Albion
46739,Manchester United,Aston Villa
46740,Newcastle United,Manchester City
46741,Norwich City,Arsenal
46742,Southampton,Watford
46743,Tottenham Hotspur,AFC Bournemouth
46744,Wolverhampton Wanderers,Sheffield United
46745,Arsenal,Brighton and Hove Albion
46746,Burnley,Manchester City
46747,Leicester City,Watford
46748,Manchester United,Tottenham Hotspur
46749,Sheffield United,Newcastle United
46750,Wolverhampton Wanderers,West Ham United
46751,Chelsea,Aston Villa
46752,Crystal Palace,AFC Bournemouth
46753,Liverpool,Everton
46754,Southampton,Norwich City
46755,Aston Villa,Leicester City
46756,AFC Bournemouth,Liverpool
46757,Brighton and Hove Albion,Wolverhampton Wanderers
46758,Everton,Chelsea
46759,Manchester City,Manchester United
46760,Newcastle United,Southampton
46761,Norwich City,Sheffield United
46762,Tottenham Hotspur,Burnley
46763,Watford,Crystal Palace
46764,West Ham United,Arsenal
46765,Arsenal,Manchester City
46766,Burnley,Newcastle United
46767,Chelsea,AFC Bournemouth
46768,Crystal Palace,Brighton and Hove Albion
46769,Leicester City,Norwich City
46770,Liverpool,Watford
46771,Manchester United,Everton
46772,Sheffield United,Aston Villa
46773,Southampton,West Ham United
46774,Wolverhampton Wanderers,Tottenham Hotspur
46775,Aston Villa,Southampton
46776,AFC Bournemouth,Burnley
46777,Brighton and Hove Albion,Sheffield United
46778,Everton,Arsenal
46779,Manchester City,Leicester City
46780,Newcastle United,Crystal Palace
46781,Norwich City,Wolverhampton Wanderers
46782,Tottenham Hotspur,Chelsea
46783,Watford,Manchester United
46785,Aston Villa,Norwich City
46786,AFC Bournemouth,Arsenal
46787,Chelsea,Southampton
46788,Crystal Palace,West Ham United
46789,Everton,Burnley
46790,Leicester City,Liverpool
46791,Manchester United,Newcastle United
46792,Sheffield United,Watford
46793,Tottenham Hotspur,Brighton and Hove Albion
46794,Wolverhampton Wanderers,Manchester City
46795,Arsenal,Chelsea
46796,Brighton and Hove Albion,AFC Bournemouth
46797,Burnley,Manchester United
46798,Liverpool,Wolverhampton Wanderers
46799,Manchester City,Sheffield United
46800,Newcastle United,Everton
46801,Norwich City,Tottenham Hotspur
46802,Southampton,Crystal Palace
46803,Watford,Aston Villa
46804,West Ham United,Leicester City
46805,Arsenal,Manchester United
46806,Brighton and Hove Albion,Chelsea
46807,Burnley,Aston Villa
46808,Liverpool,Sheffield United
46809,Manchester City,Everton
46810,Newcastle United,Leicester City
46811,Norwich City,Crystal Palace
46812,Southampton,Tottenham Hotspur
46813,Watford,Wolverhampton Wanderers
46814,West Ham United,AFC Bournemouth
46815,Aston Villa,Manchester City
46816,AFC Bournemouth,Watford
46817,Chelsea,Burnley
46818,Crystal Palace,Arsenal
46819,Everton,Brighton and Hove Albion
46820,Leicester City,Southampton
46821,Manchester United,Norwich City
46822,Sheffield United,West Ham United
46823,Tottenham Hotspur,Liverpool
46824,Wolverhampton Wanderers,Newcastle United
46825,Arsenal,Sheffield United
46826,Brighton and Hove Albion,Aston Villa
46827,Burnley,Leicester City
46828,Liverpool,Manchester United
46829,Manchester City,Crystal Palace
46830,Newcastle United,Chelsea
46831,Norwich City,AFC Bournemouth
46832,Southampton,Wolverhampton Wanderers
46833,Watford,Tottenham Hotspur
46834,West Ham United,Everton
46784,West Ham United,Liverpool
46835,Aston Villa,Watford
46836,AFC Bournemouth,Brighton and Hove Albion
46837,Everton,Newcastle United
46838,Leicester City,West Ham United
46839,Manchester United,Burnley
46840,Sheffield United,Manchester City
46841,Wolverhampton Wanderers,Liverpool
46842,Chelsea,Arsenal
46843,Crystal Palace,Southampton
46844,Tottenham Hotspur,Norwich City
46845,AFC Bournemouth,Aston Villa
46846,Burnley,Arsenal
46847,Crystal Palace,Sheffield United
46848,Leicester City,Chelsea
46849,Liverpool,Southampton
46850,Manchester United,Wolverhampton Wanderers
46851,Newcastle United,Norwich City
46852,Tottenham Hotspur,Manchester City
46853,Watford,Everton
46854,West Ham United,Brighton and Hove Albion
46855,Arsenal,Newcastle United
46856,Aston Villa,Tottenham Hotspur
46857,Brighton and Hove Albion,Watford
46858,Chelsea,Manchester United
46859,Everton,Crystal Palace
46860,Manchester City,West Ham United
46861,Norwich City,Liverpool
46862,Sheffield United,AFC Bournemouth
46863,Southampton,Burnley
46864,Wolverhampton Wanderers,Leicester City
46865,Arsenal,Everton
46866,Burnley,AFC Bournemouth
46867,Chelsea,Tottenham Hotspur
46868,Crystal Palace,Newcastle United
46869,Leicester City,Manchester City
46870,Liverpool,West Ham United
46871,Manchester United,Watford
46872,Sheffield United,Brighton and Hove Albion
46873,Southampton,Aston Villa
46874,Wolverhampton Wanderers,Norwich City
46876,AFC Bournemouth,Chelsea
46877,Brighton and Hove Albion,Crystal Palace
46878,Everton,Manchester United
46880,Newcastle United,Burnley
46881,Norwich City,Leicester City
46882,Tottenham Hotspur,Wolverhampton Wanderers
46883,Watford,Liverpool
46884,West Ham United,Southampton
46885,Arsenal,West Ham United
46886,Burnley,Tottenham Hotspur
46887,Chelsea,Everton
46888,Crystal Palace,Watford
46889,Leicester City,Aston Villa
46890,Liverpool,AFC Bournemouth
46891,Manchester United,Manchester City
46892,Sheffield United,Norwich City
46893,Southampton,Newcastle United
46894,Wolverhampton Wanderers,Brighton and Hove Albion
46895,Aston Villa,Chelsea
46896,AFC Bournemouth,Crystal Palace
46897,Brighton and Hove Albion,Arsenal
46898,Everton,Liverpool
46899,Manchester City,Burnley
46900,Newcastle United,Sheffield United
46901,Norwich City,Southampton
46902,Tottenham Hotspur,Manchester United
46903,Watford,Leicester City
46904,West Ham United,Wolverhampton Wanderers
46905,Burnley,Watford
46906,Chelsea,Manchester City
46907,Leicester City,Brighton and Hove Albion
46908,Liverpool,Crystal Palace
46909,Manchester United,Sheffield United
46910,Newcastle United,Aston Villa
46911,Norwich City,Everton
46912,Southampton,Arsenal
46913,Tottenham Hotspur,West Ham United
46914,Wolverhampton Wanderers,AFC Bournemouth
46915,Arsenal,Norwich City
46916,Aston Villa,Wolverhampton Wanderers
46917,AFC Bournemouth,Newcastle United
46918,Brighton and Hove Albion,Manchester United
46919,Crystal Palace,Burnley
46920,Everton,Leicester City
46921,Manchester City,Liverpool
46922,Sheffield United,Tottenham Hotspur
46923,Watford,Southampton
46924,West Ham United,Chelsea
46925,Burnley,Sheffield United
46926,Chelsea,Watford
46927,Leicester City,Crystal Palace
